0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0.975,0.7,0.75,0.825,0.65,0.6,0.625,0.75,0.875,1,0,0,0,0,0,0,0,0.95,0.975,0.75,0.825,0.825,0.625,0.5,0.525
0,0,0,0,0.975,1,0.675,0.725,0.8,0.625,0.575,0.6,0.725,0.9,0.975,0,0,0,0,0,0,0,0.925,0.95,0.725,0.8,0.85,0.65,0.525,0.55
0,0,0,0,0.7,0.675,1,0.8,0.675,0.8,0.85,0.875,0.65,0.675,0.7,0,0,0,0,0,0,0,0.65,0.675,0.55,0.525,0.625,0.325,0.3,0.275
0,0,0,0,0.75,0.725,0.8,1,0.825,0.9,0.65,0.675,0.6,0.675,0.75,0,0,0,0,0,0,0,0.7,0.725,0.55,0.625,0.725,0.425,0.3,0.275
0,0,0,0,0.825,0.8,0.675,0.825,1,0.725,0.625,0.65,0.675,0.8,0.825,0,0,0,0,0,0,0,0.825,0.85,0.625,0.75,0.9,0.55,0.425,0.4
0,0,0,0,0.65,0.625,0.8,0.9,0.725,1,0.75,0.775,0.5,0.575,0.65,0,0,0,0,0,0,0,0.6,0.625,0.45,0.525,0.625,0.325,0.2,0.175
0,0,0,0,0.6,0.575,0.85,0.65,0.625,0.75,1,0.975,0.6,0.625,0.6,0,0,0,0,0,0,0,0.55,0.575,0.45,0.425,0.575,0.225,0.25,0.225
0,0,0,0,0.625,0.6,0.875,0.675,0.65,0.775,0.975,1,0.625,0.65,0.625,0,0,0,0,0,0,0,0.575,0.6,0.475,0.45,0.6,0.25,0.275,0.25
0,0,0,0,0.75,0.725,0.65,0.6,0.675,0.5,0.6,0.625,1,0.825,0.75,0,0,0,0,0,0,0,0.75,0.725,0.65,0.575,0.625,0.575,0.6,0.575
0,0,0,0,0.875,0.9,0.675,0.675,0.8,0.575,0.625,0.65,0.825,1,0.875,0,0,0,0,0,0,0,0.875,0.85,0.675,0.7,0.8,0.6,0.575,0.55
0,0,0,0,1,0.975,0.7,0.75,0.825,0.65,0.6,0.625,0.75,0.875,1,0,0,0,0,0,0,0,0.95,0.975,0.75,0.825,0.825,0.625,0.5,0.525
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.95,0.925,0.65,0.7,0.825,0.6,0.55,0.575,0.75,0.875,0.95,0,0,0,0,0,0,0,1,0.975,0.7,0.825,0.825,0.675,0.5,0.525
0,0,0,0,0.975,0.95,0.675,0.725,0.85,0.625,0.575,0.6,0.725,0.85,0.975,0,0,0,0,0,0,0,0.975,1,0.725,0.85,0.85,0.65,0.475,0.5
0,0,0,0,0.75,0.725,0.55,0.55,0.625,0.45,0.45,0.475,0.65,0.675,0.75,0,0,0,0,0,0,0,0.7,0.725,1,0.675,0.575,0.725,0.75,0.725
0,0,0,0,0.825,0.8,0.525,0.625,0.75,0.525,0.425,0.45,0.575,0.7,0.825,0,0,0,0,0,0,0,0.825,0.85,0.675,1,0.8,0.8,0.475,0.5
0,0,0,0,0.825,0.85,0.625,0.725,0.9,0.625,0.575,0.6,0.625,0.8,0.825,0,0,0,0,0,0,0,0.825,0.85,0.575,0.8,1,0.65,0.425,0.45
0,0,0,0,0.625,0.65,0.325,0.425,0.55,0.325,0.225,0.25,0.575,0.6,0.625,0,0,0,0,0,0,0,0.675,0.65,0.725,0.8,0.65,1,0.675,0.7
0,0,0,0,0.5,0.525,0.3,0.3,0.425,0.2,0.25,0.275,0.6,0.575,0.5,0,0,0,0,0,0,0,0.5,0.475,0.75,0.475,0.425,0.675,1,0.975
0,0,0,0,0.525,0.55,0.275,0.275,0.4,0.175,0.225,0.25,0.575,0.55,0.525,0,0,0,0,0,0,0,0.525,0.5,0.725,0.5,0.45,0.7,0.975,1
