k,SelectionScore,U,H,C,Q
2,0.026134833036789387,0.026134833036789387,0.014862013502781261,0.10821823642439318,0.06112945182346024
3,0.031241277898551238,0.031241277898551238,0.01771934033568343,0.13188508836733712,0.058695851470438494
4,0.04201224692929235,0.04201224692929235,0.023433146122232178,0.20281621972919744,0.05717839875622742
