k,SelectionScore,U,H,C,Q
2,0.03246955498094667,0.03246955498094667,0.018661720180196684,0.12483561148677343,0.01656825234929535
3,0.04465011852353848,0.04465011852353848,0.0249380906507064,0.21306454794591936,0.02068122008613398
4,0.04149447231215403,0.04149447231215403,0.02319583227216847,0.19654095129237587,0.03267836922322526
5,0.041755343791915596,0.041755343791915596,0.023246201981696933,0.20490623307813252,0.03484520593914053
6,0.039925861660395925,0.039925861660395925,0.022115936681790304,0.20506164156362564,0.031913602487736205
