k,SelectionScore,U,H,C,Q
2,0.04142072078842608,0.04142072078842608,0.023701248680374234,0.16411893557998375,0.04319672928611706
3,0.04506910590202877,0.04506910590202877,0.025447055938688595,0.19688839184873222,0.04290992434051652
4,0.043921335099715374,0.043921335099715374,0.02472451410667497,0.19645332093027287,0.04199671664939888
