1,0,0.9,0,0.75,0.875,0.6,0.5,0.725,0.5,0.55,0.575,0.6,0.725,0.8,1,0,0,0.925,0,0,0.8,0.775,0.85,0.575,0.6,0.7,0.4,0.425,0.475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,1,0,0.85,0.925,0.65,0.55,0.775,0.55,0.6,0.675,0.65,0.775,0.8,0.9,0,0,0.975,0,0,0.8,0.825,0.85,0.625,0.7,0.8,0.5,0.475,0.525
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0.85,0,1,0.875,0.7,0.65,0.725,0.65,0.7,0.725,0.7,0.825,0.9,0.75,0,0,0.825,0,0,0.9,0.875,0.85,0.675,0.75,0.75,0.55,0.525,0.525
0.875,0,0.925,0,0.875,1,0.675,0.625,0.75,0.625,0.675,0.65,0.675,0.85,0.825,0.875,0,0,0.95,0,0,0.825,0.8,0.875,0.7,0.725,0.775,0.525,0.55,0.55
0.6,0,0.65,0,0.7,0.675,1,0.8,0.675,0.8,0.9,0.875,0.75,0.775,0.6,0.6,0,0,0.675,0,0,0.6,0.625,0.6,0.525,0.55,0.65,0.4,0.425,0.475
0.5,0,0.55,0,0.65,0.625,0.8,1,0.775,0.95,0.8,0.775,0.6,0.625,0.55,0.5,0,0,0.575,0,0,0.55,0.525,0.55,0.525,0.65,0.7,0.5,0.425,0.425
0.725,0,0.775,0,0.725,0.75,0.675,0.775,1,0.725,0.625,0.65,0.675,0.7,0.625,0.725,0,0,0.8,0,0,0.625,0.65,0.625,0.6,0.725,0.875,0.575,0.5,0.55
0.5,0,0.55,0,0.65,0.625,0.8,0.95,0.725,1,0.8,0.775,0.6,0.625,0.55,0.5,0,0,0.575,0,0,0.55,0.525,0.55,0.525,0.65,0.7,0.45,0.375,0.375
0.55,0,0.6,0,0.7,0.675,0.9,0.8,0.625,0.8,1,0.925,0.8,0.775,0.6,0.55,0,0,0.625,0,0,0.6,0.575,0.6,0.525,0.55,0.6,0.4,0.425,0.425
0.575,0,0.675,0,0.725,0.65,0.875,0.775,0.65,0.775,0.925,1,0.775,0.7,0.625,0.575,0,0,0.65,0,0,0.625,0.65,0.625,0.5,0.575,0.675,0.425,0.35,0.4
0.6,0,0.65,0,0.7,0.675,0.75,0.6,0.675,0.6,0.8,0.775,1,0.775,0.6,0.6,0,0,0.675,0,0,0.6,0.675,0.65,0.625,0.55,0.65,0.55,0.575,0.625
0.725,0,0.775,0,0.825,0.85,0.775,0.625,0.7,0.625,0.775,0.7,0.775,1,0.775,0.725,0,0,0.8,0,0,0.775,0.75,0.775,0.75,0.675,0.725,0.575,0.65,0.65
0.8,0,0.8,0,0.9,0.825,0.6,0.55,0.625,0.55,0.6,0.625,0.6,0.775,1,0.8,0,0,0.775,0,0,1,0.875,0.9,0.625,0.7,0.7,0.5,0.475,0.475
1,0,0.9,0,0.75,0.875,0.6,0.5,0.725,0.5,0.55,0.575,0.6,0.725,0.8,1,0,0,0.925,0,0,0.8,0.775,0.85,0.575,0.6,0.7,0.4,0.425,0.475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.925,0,0.975,0,0.825,0.95,0.675,0.575,0.8,0.575,0.625,0.65,0.675,0.8,0.775,0.925,0,0,1,0,0,0.775,0.8,0.825,0.65,0.675,0.775,0.475,0.5,0.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
