k,SelectionScore,U,H,C,Q
2,0.02533262712329235,0.02533262712329235,0.014344913257178921,0.10824329934861397,0.05711247334869957
3,0.04124680395089793,0.04124680395089793,0.02307739398493068,0.1939429186640065,0.05325137387670558
4,0.04923911314119144,0.04923911314119144,0.027255924992482094,0.2545276986576072,0.049645703134177877
5,0.0484444203794492,0.0484444203794492,0.026805685667963385,0.2513253785446169,0.04015799905154979
6,0.04553932000808347,0.04553932000808347,0.02522000836647045,0.2343548470938389,0.03330237273280544
