k,SelectionScore,U,H,C,Q
2,0.027000282159792548,0.027000282159792548,0.015312746927103223,0.11404809498721623,0.06388691648538772
3,0.0390885433493141,0.0390885433493141,0.02185668102803678,0.18473066254205092,0.06139429511164239
4,0.047916170061842435,0.047916170061842435,0.02659984693677281,0.2412334712333816,0.06083702750104117
5,0.06081383607011328,0.06081383607011328,0.03336167300153363,0.3433197229479621,0.05648540386126873
6,0.06434298286529078,0.06434298286529078,0.03538692032491955,0.35405852289137907,0.05542261009382321
