k,SelectionScore,U,H,C,Q
2,0.037571974108544036,0.037571974108544036,0.02150156614086174,0.14874475398765247,0.04391989363702709
3,0.047302230451052064,0.047302230451052064,0.026460766257426077,0.22274176565154305,0.040463023093657235
4,0.04263654742095884,0.04263654742095884,0.023858269061745676,0.2002433232261621,0.04070414733743834
5,0.042742649812425204,0.042742649812425204,0.02372108626579755,0.2157457563282949,0.040708070010362155
6,0.0575557847076597,0.0575557847076597,0.031174514653207253,0.3743338393813445,0.03974537485272558
